Type                                  Module                      Label             Process   
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "HLT"     
edm::ValueMap<float>                  "ak8PFJetsCHSSoftDropMass"   ""                "HLT"     
edm::ValueMap<float>                  "eidLoose"                  ""                "HLT"     
edm::ValueMap<float>                  "eidRobustHighEnergy"       ""                "HLT"     
edm::ValueMap<float>                  "eidRobustLoose"            ""                "HLT"     
edm::ValueMap<float>                  "eidRobustTight"            ""                "HLT"     
edm::ValueMap<float>                  "eidTight"                  ""                "HLT"     
edm::ValueMap<float>                  "electronEcalPFClusterIsolationProducer"   ""                "HLT"     
edm::ValueMap<float>                  "electronHcalPFClusterIsolationProducer"   ""                "HLT"     
edm::ValueMap<float>                  "offlinePrimaryVertices"    ""                "HLT"     
edm::ValueMap<float>                  "offlinePrimaryVerticesWithBS"   ""                "HLT"     
edm::ValueMap<float>                  "photonEcalPFClusterIsolationProducer"   ""                "HLT"     
edm::ValueMap<float>                  "photonHcalPFClusterIsolationProducer"   ""                "HLT"     
edm::ValueMap<int>                    "offlinePrimaryVertices"    ""                "HLT"     
edm::ValueMap<int>                    "offlinePrimaryVerticesWithBS"   ""                "HLT"     
edm::ValueMap<reco::CastorJetID>      "ak5CastorJetID"            ""                "HLT"     
edm::ValueMap<reco::CastorJetID>      "ak7CastorJetID"            ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxHarmonic2"             ""                "HLT"     
edm::ValueMap<reco::JetID>            "ak4JetID"                  ""                "HLT"     
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "HLT"     
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "HLT"     
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "HLT"     
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedGsfElectrons"   "HLT"     
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedPhotons"      "HLT"     
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
int                                   "tcdsDigis"                 "nibble"          "HLT"     
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "HLT"     
reco::BeamSpot                        "offlineBeamSpot"           ""                "HLT"     
reco::CSCHaloData                     "CSCHaloData"               ""                "HLT"     
reco::GlobalHaloData                  "GlobalHaloData"            ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauChargedIsoPtSum"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauChargedIsoPtSumdR03"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDeadECALElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFinding"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFindingNewDMs"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFindingOldDMs"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1DBdR03oldDMwLTraw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1DBnewDMwLTraw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1DBoldDMwLTraw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1PWdR03oldDMwLTraw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1PWnewDMwLTraw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVArun2v1PWoldDMwLTraw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseChargedIsolation"   ""                "HLT"     
